技术名称,技术类型,技术投资额,单位,传动机构,电动机类型,逆变器,电池模组,结构系统,电气系统,相关电池参数,采集来源,来源链接,采集时间,备注,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
超导电缆技术,可再生能源,8300,万元,导电接头,高温超导电动机,超导材料专用逆变器,超导材料储存系统,管道系统,智能化电网系统,超导临界温度上限高达100K,中国超导协会,https://www.chinasuperconductor.org/,2024-09-29,,,,,,,,,,
氨能源技术,可再生能源,7200,万元,电动机驱动,异步电动机,氨转化逆变器,氨储存罐,模块化存储系统,智能监测系统,热值3000kcal/kg,国际氨能协会,https://www.internationalammonia.org,2024-09-29,,,,,,,,,,
海洋能发电技术,可再生能源,12000,万元,波浪能转换,永磁同步电动机,海洋能专用逆变器,锂离子电池组,浮筒结构,智能监控系统,额定容量200Ah，充电效率92%,中国海洋能源协会,https://www.moea.gov.cn,2024-09-29,,,,,,,,,,
氟化物电池技术,可再生能源,6200,万元,无,无,高效氟化物逆变器,氟化物电池,封闭式设计,智能在线监控,能量密度1500Wh/L,高科技材料研究院,https://www.high-tech-materials.org/,2024-09-29,,,,,,,,,,
垃圾焚烧发电技术,可再生能源,3000,万元,气力输送,交流电动机,焚烧专用能量回收逆变器,发电机组,多级反应炉,综合能量管理系统,最大输出功率60MW,中国固废处理与资源利用协会,https://www.chinarecycling.org.cn/,2024-09-29,,,,,,,,,,
高效率光伏组件技术,可再生能源,8500,万元,电动机驱动,高效电动机,智能高效逆变器,高效光伏电池,集成化设计,智能化管理系统,转化效率达24%,中国可再生能源学会,https://www.creia.org.cn/,2024-09-29,,,,,,,,,,
氢气制备技术,可再生能源,6500,万元,电解水分解,微型电动机,氢能专用逆变器,氢气储存罐,模块化设计,智能监控系统,日产氢气量100kg,中国氢能联合会,https://www.hydrogen.org.cn,2024-09-29,,,,,,,,,,
氨能利用技术,氢能,4300,万元,催化组分,氨气驱动电动机,氨能专用逆变器,氨储存系统,高效反应器,自动智能系统,能量密度140Wh/L,国家氨能技术研究中心,http://www.ammoniatech.gov.cn/,2024-09-29,,,,,,,,,,
超级电容器能源存储技术,可再生能源,3500,万元,电容传动,不对称环形电动机,超级电容逆变器,超级电容模块,自适应储能系统,实时监测系统,容量200F，电压2.7V,中国电源技术协会,https://www.cpsa.org.cn,2024-09-29,,,,,,,,,,
高效储氢技术,可再生能源,6500,万元,气压传动,高效电动机,氢气专用逆变器,金属氢化物储罐,模块化储氢系统,监控管理系统,"容量600L, 储氢效率85%",中国氢能源产业技术创新战略联盟,https://www.chinahydrogen.com/,2024-09-29,,,,,,,,,,
