时间,地区,装机规模,单位,采集来源,来源链接,采集时间,备注,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
2023年,内蒙古,4.2,GW,中国可再生能源学会,https://www.creia.org.cn/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,4.2,GW,海洋与渔业局,http://www.moa.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山东省,9.8,GW,山东省发改委,https://www.sd.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,山西省,4.6,GW,全球能源互联网发展合作组织,https://www.geidco.org/,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,6.0,GW,中国电力规划设计总院,http://www.chinaep.com,2024/9/21,,,,,,,,,,,,,
2023年,湖北省,6.9,GW,中国可再生能源学会,http://www.creia.org.cn,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,7.3,GW,中国海洋经济报,http://www.come.com.cn,2024/9/21,,,,,,,,,,,,,
2025年,四川省,6.4,GW,四川省能源局,http://www.sc.gov.cn/,2024/9/21,,,,,,,,,,,,,
2023年,辽宁省,5.8,GW,中国海洋能源网,https://www.chinaoceanenergy.com,2024/9/21,,,,,,,,,,,,,
2023年,黑龙江省,4.1,GW,黑龙江省能源局,http://nengyuan.hlj.gov.cn/,2024/9/21,,,,,,,,,,,,,
