合成生物技术适用范围,合成生物技术类型,生物多样性定义,生物多样性特征,实验活动人员,5P策略,实验活动设施、设备、环境,潜在风险影响程度,风险评估结论,采集来源,来源链接,采集时间,备注,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
海洋生态,合成海洋生物,海洋生物多样性,生态系统的功能,海洋生物学家、环境科学家,产品、过程、人员、环境、政策,海洋实验室、遥感监测系统,重度影响,需进一步评估,中国海洋大学,http://www.ouc.edu.cn/,2024-09-24,,,,,,,,
人造细胞,自我复制细胞,生物体的多样性,合成与自然选择,合成生物学研究者,产品、过程、人员、环境、政策,智能实验室、生物反应器,轻度影响,高风险，需要审慎对待,北京生命科学中心,https://www.biosciencelab.org,2024-09-24,,,,,,,,
制药,基因合成,种群遗传结构,物种适应能力,制药工程师、分子生物学家,产品、过程、人员、环境、政策,合成药物实验室、基因合成仪,中度影响,风险在可接受范围内,复旦大学药学院,https://www.fudan.edu.cn,2024-09-24,,,,,,,,
农业、生物防治,转基因技术,生态群落的多样性,物种竞争,农业科学家、生态学者,产品、过程、人员、环境、政策,田野试验、生态实验室,重度影响,需要长期监测,中国农业大学,https://www.cau.edu.cn,2024-09-24,,,,,,,,
环境治理,生物修复,生态平衡,营养循环,环保工程师,产品、过程、人员、环境、政策,现场实验设施、取样设备,轻度影响,风险可控,环境保护部,http://www.mee.gov.cn/,2024-09-24,,,,,,,,
生态保护,基因组学,物种多样性,栖息地多样性,生态学研究人员,产品、过程、人员、环境、政策,基因组图谱实验室、生态监测设备,轻度影响,风险可接受,武汉大学生态与环境学院,https://www.whu.edu.cn/,2024-09-24,,,,,,,,
饲料生产,转基因作物,物种间的遗传多样性,产量与品质,农业研究人员,产品、过程、人员、环境、政策,实验温室、浇灌系统,重度影响,需政策跟进,农业农村部,https://www.moa.gov.cn/,2024-09-24,,,,,,,,
生物技术教育,课程开发,遗传信息多样性,教育内容更新,教育工作者、课程设计师,产品、过程、人员、环境、政策,教室、实验室设备,轻度影响,风险可控,北京师范大学,http://www.bnu.edu.cn/,2024-09-24,,,,,,,,
人类基因组研究,CRISPR技术,种群遗传多样性,适应性变异,遗传学专家、操作员,产品、过程、人员、环境、政策,基因组实验室、基因编辑设备,重度影响,需进一步评估,北京协和医院,http://www.puhua.com,2024-09-24,,,,,,,,
合成生态系统,模拟生态圈,生态系统功能多样性,生态相互作用,生态学研究员、实验技术员,产品、过程、人员、环境、政策,生态实验室、监测设备,重度影响,需进一步评估,中国科学院生态环境研究中心,http://www.iei.cas.cn/,2024-09-24,,,,,,,,
