标准编号（字符型）,标准名称（字符型）,标准发布日期（日期型）,实施日期（日期型）,备案号（字符型）,标准属性（字符型）,实施范围（字符型）,标准范围（字符型）,制定部门（字符型）,制定依据（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
GB 9876-2019,食品在线检测标准,2019-04-20,2019-10-01,2019-002,强制性标准,食品生产、流通,食品安全标准,国家食品安全监督管理局,食品安全法,食品安全信息网,https://www.cfda.gov.cn/,2024-09-29,,,,,,,
JYF 01-2023,智能食品安全监测标准,2023-05-05,2023-11-01,JYF-01,新兴标准,全国范围内高科技食品企业,食品监管标准,国家科技部,科技与食品安全相关法律,中国食品科技协会,https://www.most.gov.cn,2024-09-29,,,,,,,
GB/T 31000-2021,食品供应链安全管理标准,2021-07-15,2022-01-01,2021-004,推荐性标准,全国食品供应链企业,供应链安全标准,国家市场监督管理总局,食品供应链管理规范,全国食品安全风险评估中心,http://www.nifdc.org.cn/,2024-09-29,,,,,,,
T/CFDA 0004-2022,中秋食品安全标准,2022-08-10,2022-10-01,T-CFDA-0004,团体标准,全国糕点生产企业,特殊食品标准,中国食品工业协会,团体标准制定办法,中国质量认证中心,http://www.cqc.com.cn/,2024-09-29,,,,,,,
GB 31000-2020,食品供应链管理标准,2020-08-20,2021-03-01,2020-002,推荐性标准,全国范围内食品企业,食品管理标准,国家卫生健康委员会,食品安全法,中国食品报,http://www.cfn.com.cn,2024-09-29,,,,,,,
DB JS 16/003-2023,地方食品安全标准：水产品,2023-01-20,2023-08-15,DB-JS-003,地方标准,江苏省水产品生产、加工,地方食品安全标准,江苏省市场监督管理局,地方食品安全法,江苏新闻,https://www.js.gov.cn,2024-09-29,,,,,,,
GB 6215-2021,肉类和禽类食品中病原微生物标准,2021-08-20,2022-02-01,2021-008,强制性标准,肉类、禽类生产、加工,食品安全标准,国家卫生健康委员会,食品安全法,国家食品安全风险评估中心,http://www.cfsa.net.cn,2024-09-29,,,,,,,
GBT 4546-2023,食品中塑料微粒的检测方法,2023-06-10,2023-11-15,2023-009,推荐性标准,全国范围内的实验室和食品企业,食品安全检测标准,国家标准化管理委员会,食品安全法,中国环境保护部,https://www.mee.gov.cn/,2024-09-29,,,,,,,
T/CSFA 0401-2022,肉类食品安全标准,2022-02-01,2022-09-01,T-CSFA-0401,团体标准,全国肉类生产企业,食品安全标准,中国肉类协会,团体标准制定办法,中国农业农村部,http://www.moa.gov.cn/,2024-09-29,,,,,,,
GB 1818-2023,食品安全快速检测标准,2023-03-30,2023-09-01,2023-002,强制性标准,全国范围内的食品行业,食品安全标准,国家市场监督管理总局,食品安全法,中国国家标准化管理委员会,http://www.sac.gov.cn,2024-09-29,,,,,,,
