系统名称（字符型）,系统类型（字符型）,系统架构（字符型）,系统性能（字符型）,系统搭建环境（字符型）,系统关键功能（字符型）,采集来源,来源链接,采集时间,备注,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
空天大数据分析平台,大数据处理系统,分布式存储架构,高并发数据处理能力,云端大数据环境,数据挖掘、趋势预测,大数据研究中心,https://www.bigdata.cn,2024-10-08,,,,,,,,,,,
空天运输调度系统,调度系统,集中式调度架构,多模式运输协调,数据中心环境,运输任务管理、实时调度,运输管理局,http://www.transit.gov.cn,2024-10-08,,,,,,,,,,,
空天无人机协调系统,协调管理系统,集中控制架构,无人机编队飞行管理,专用无人机指挥环境,飞行调度、实时监控,民用航空局,http://www.caac.gov.cn,2024-10-08,,,,,,,,,,,
智能空中交通管理系统,管理系统,集中式管理架构,动态交通流量控制,5G和云平台环境,航路监测、交通流分析,航天航空大学,http://www.cuaas.edu.cn,2024-10-08,,,,,,,,,,,
空天紧急响应系统,应急管理系统,快速部署架构,即时响应、快速处理,临时移动环境,事件监测、资源协调,应急管理部,http://www.mem.gov.cn,2024-10-08,,,,,,,,,,,
空天优化调度系统,管理系统,自适应架构,快速优化与调度能力,边缘计算环境,资源调配、任务优化,科技进步研究院,http://www.sciencetech.org,2024-10-08,,,,,,,,,,,
航天器状态监测系统,监控系统,模块化架构,状态实时反馈,本地控制中心,气象数据监测、故障预警,航天科技集团,http://www.casc.com.cn,2024-10-08,,,,,,,,,,,
空间信息融合与分析平台,数据分析系统,信息融合架构,多维数据分析能力,云技术应用环境,信息融合、趋势预测,信息技术研究院,https://www.informationtech.org,2024-10-08,,,,,,,,,,,
智能空天资源调配系统,资源管理系统,智能算法架构,资源优化与调度准确性高,云端智能终端,资源预测、动态调配,智能决策研究所,https://www.smart-decision.cn,2024-10-08,,,,,,,,,,,
空天智能交通管理系统,交通管理系统,智能实时架构,全局交通流量优化,车联网环境,交通信号控制、车流监测,交通运输部,http://www.mot.gov.cn,2024-10-08,,,,,,,,,,,
