产品名称,企业名称,主轴转速,X行程,XYZ定位精度,XYZ重复定位精度,AC定位精度,AC重复定位精度,采集来源,来源链接,采集时间,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
数控磨床,苏州精密机械有限公司,8000,700,±0.01,±0.005,±0.025,±0.012,江苏省机械行业协会,https://www.jsmachinery.org,2024-09-20,,,,,,,,,
数控磨床,西安铣磨机床厂,3000,750,±0.012,±0.005,±0.015,±0.007,陕西机械工程协会,http://www.sxmeb.org,2024-09-20,,,,,,,,,
数控冲床,郑州冲压设备有限公司,600,1200,±0.035,±0.016,±0.04,±0.02,中国机械工业信息网,https://www.cmiia.org.cn,2024-09-20,,,,,,,,,
数控磨床,青岛磨具设备有限公司,5000,1100,±0.02,±0.01,±0.025,±0.014,中国磨床行业协会,https://www.cmta.org.cn,2024-09-20,,,,,,,,,
数控车床,苏州机械制造有限公司,8000 RPM,1200 mm,±0.015 mm,±0.007 mm,±0.025 mm,±0.012 mm,江苏省机械工程学会,https://www.jiangsumachine.com,2024-09-20,,,,,,,,,
数控木工机械,福州木工机器有限公司,5000,1200,±0.025,±0.012,±0.03,±0.015,全国木材工业协会,http://www.woodindustry.org.cn,2024-09-20,,,,,,,,,
水刀切割机,深圳水刀科技有限公司,9000,1500,±0.018 mm,±0.009 mm,±0.022 mm,±0.011 mm,水切割技术开发中心,https://www.wetcutting.org,2024-09-20,,,,,,,,,
数控冲床,苏州精密机床有限公司,600,900,±0.025 mm,±0.013 mm,±0.045 mm,±0.022 mm,国家工业总局,https://www.mii.gov.cn,2024-09-20,,,,,,,,,
数控折弯机,郑州机械有限公司,3500,1000,±0.025,±0.012,±0.03,±0.015,河南省科技厅,https://www.henan.gov.cn,2024-09-20,,,,,,,,,
高速切削机,广州精密加工中心,20000,800,±0.009 mm,±0.003 mm,±0.018 mm,±0.007 mm,机器人物联网,https://www.robotics.org.cn,2024-09-20,,,,,,,,,
